Designator,Mid X,Mid Y,Rotation,Layer
D1,77.1669,-69.1194,90.0,bottom
D10,153.3669,-85.7881,90.0,bottom
D11,77.1669,-107.2194,90.0,bottom
D12,96.2169,-102.4569,90.0,bottom
D13,115.2669,-99.3256,90.0,bottom
D14,134.3169,-102.4569,90.0,bottom
D15,153.3669,-104.8381,90.0,bottom
D16,122.4106,-123.8881,90.0,bottom
D17,142.461,-127.6082,105.0,bottom
D18,167.6732,-123.4599,30.0,bottom
D2,96.2169,-64.3569,90.0,bottom
D24,147.5669,-67.6569,0.0,bottom
D25,128.5169,-65.2756,0.0,bottom
D26,109.4669,-62.8944,0.0,bottom
D27,90.4169,-65.2756,0.0,bottom
D28,71.3669,-70.0381,0.0,bottom
D29,71.3669,-89.0881,0.0,bottom
D3,115.2669,-61.2256,90.0,bottom
D30,90.4169,-84.3256,0.0,bottom
D31,109.4669,-81.9444,0.0,bottom
D32,128.5169,-84.3256,0.0,bottom
D33,147.5669,-86.7069,0.0,bottom
D34,147.5669,-105.7569,0.0,bottom
D35,128.5169,-103.3756,0.0,bottom
D36,109.4669,-100.9944,0.0,bottom
D37,90.4169,-103.3756,0.0,bottom
D38,71.3669,-108.1381,0.0,bottom
D39,116.6669,-124.8069,0.0,bottom
D4,134.3169,-64.3569,90.0,bottom
D40,136.6169,-127.0069,15.0,bottom
D41,165.5669,-128.9069,300.0,bottom
D5,153.3669,-66.7381,90.0,bottom
D6,77.1669,-88.1694,90.0,bottom
D7,96.2169,-83.4069,90.0,bottom
D8,115.2669,-80.2756,90.0,bottom
D9,134.3169,-83.4069,90.0,bottom
J2,176.0081,-100.4506,270.0,bottom
SW1,71.3919,-64.5444,0.0,bottom
SW10,147.5919,-81.2131,0.0,bottom
SW11,71.3919,-102.6444,0.0,bottom
SW12,90.4419,-97.8819,0.0,bottom
SW13,109.4919,-95.5006,0.0,bottom
SW14,128.5419,-97.8819,0.0,bottom
SW15,147.5919,-100.2631,0.0,bottom
SW16,116.6356,-119.3131,0.0,bottom
SW17,138.0669,-121.6944,15.0,bottom
SW18,160.8237,-126.1737,300.0,bottom
SW2,90.4419,-59.7819,0.0,bottom
SW3,109.4919,-57.4006,0.0,bottom
SW4,128.5419,-59.7819,0.0,bottom
SW5,147.5919,-62.1631,0.0,bottom
SW6,71.3919,-83.5944,0.0,bottom
SW7,90.4419,-78.8319,0.0,bottom
SW8,109.4919,-76.4506,0.0,bottom
SW9,128.5419,-78.8319,0.0,bottom
